Precinct,count_voters
100,3579
101,3064
102,3510
103,2687
104,3558
105,3277
106,3949
107,3936
110,3232
111,3323
112,2107
113,2697
114,2405
115,632
116,3309
117,2721
120,1881
121,2921
122,2573
123,1968
124,3025
125,1151
126,5404
127,4440
130,4321
131,2591
132,4478
133,2403
134,3674
135,1421
136,1617
137,3284
138,5613
140,335
141,5422
142,4213
143,4857
144,2775
145,2881
146,580
150,4851
151,2542
152,3954
153,4139
154,3693
155,3679
156,4559
160,2829
161,1829
162,4322
163,3399
164,3514
165,3085
170,3456
171,4270
172,402
173,1672
174,1149
175,1
176,146
177,3756
178,2095
180,3514
181,2449
182,2702
183,1856
184,3322
185,1145
186,3144
190,2453
191,2901
192,2865
193,3025
194,2779
200,4247
201,3713
202,2796
203,3547
204,4228
205,4181
206,2893
207,3817
210,1940
211,2794
212,3939
213,3752
214,2560
215,1248
216,4075
220,2666
221,4272
223,2076
224,2394
225,3158
226,2930
227,2903
230,4163
231,3981
232,3516
233,3645
234,3270
235,3758
236,4253
237,2765
238,3750
240,3740
241,3181
242,3695
243,3503
244,2796
245,4295
246,3750
247,2355
250,2519
251,3274
252,2276
253,4051
254,4442
255,3841
256,3444
260,2373
261,2264
262,3198
263,3408
264,3365
265,2304
266,3509
267,3201
268,2555
270,4751
271,2778
272,5051
273,3565
274,4419
275,2409
280,4190
281,4438
282,3121
290,4818
291,1164
292,3795
293,4333
294,2590
300,2656
301,3605
302,4169
303,493
304,4696
305,2427
306,4110
307,4037
310,4690
311,5631
312,5032
313,4881
314,4097
315,4010
320,4004
321,2065
322,3339
323,2893
324,3014
325,1054
326,3346
327,2843
330,4175
331,2056
332,2739
333,2372
334,3304
335,3593
336,4041
337,5737
340,3638
341,2922
342,3641
343,2999
344,3216
345,3186
346,4070
347,3404
348,3549
349,3425
350,4531
351,3861
352,3241
353,4075
354,4240
355,794
356,2818
357,3577
358,3403
360,3379
361,1554
362,4593
363,3722
364,3325
365,3485
366,3812
367,2959
370,4262
371,2868
372,823
373,2284
374,2791
375,4062
376,3959
380,3566
381,3126
382,3803
383,3842
384,3921
385,3589
386,3161
387,2883
390,4394
391,3158
392,2542
393,4132
394,4245
395,3063
396,2819
400,2610
401,4238
402,4123
403,3444
404,394
405,4938
410,3106
411,3188
412,2469
413,2385
414,4640
415,3054
416,3134
417,2104
418,3154
420,4386
421,3876
422,2725
423,3346
424,4931
425,3598
426,2322
427,3157
430,2918
431,3185
432,1162
433,748
434,1898
435,2809
436,2384
437,4756
438,2529
439,2460
445,3066
446,3945
447,1513
448,3165
449,3804
450,4558
451,2797
452,3066
453,2567
454,2704
455,2406
456,3072
460,2508
461,2903
462,4408
463,1500
464,5397
465,3172
466,3898
467,3081
470,2834
471,4884
472,4495
473,2907
474,3505
475,1438
480,1095
481,4132
482,1252
483,5219
490,3523
491,4852
